All,Tot
"Display Mode","Mode de Visualització"
"Use All","Utilitzar Tots"
"Meta Title","Meta Títol"
"Meta Keywords","Meta Paraules clau"
"Meta Description",Metadescripció
Theme,Tema
StatusText,"Text d'Estat"
"Image Opacity","Transparència de la Imatge"
Values,Valors
"Delete items","Eliminar elements"
"Change status","Canviar l'Estat"
"Update attributes","Actualitzar atributs"
Overview,"Visió General"
"Recently Compared","Comparat Recentment"
"Add To Cart","Afegir a la cistella"
"Add To Compare","Afegir a Comprar"
"Learn more","Més informació"
"Recently Viewed","Vist Recentment"
"Save Category","Guardar Categoria"
"Delete Category","Suprimir Categoria"
"New Subcategory","Nova Subcategoria"
"New Root Category","Nova Categoria Arrel"
"Set Root Category for Store","Establir la Categoria Arrel a la Botiga"
"Custom Design","Disseny Personalitzat"
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","No s'han introduït totes les opcions obligatòries del producte. Assegureu-vos d'haver-les introduït i torneu-ho a provar."
"Preview Sale","Vista prèvia de venda"
"Category ID","ID de Categoria"
Start,Inici
End,Fi
"Allow Adding to Cart","Permet afegir a la cistella"
"We can't delete this rule right now. Please review the log and try again.","No podem eliminar aquesta regla ara mateix. Si us plau, reviseu el registre i torneu-ho a provar."
"Something went wrong while saving the rule data. Please review the error log.","Alguna cosa ha funcionat malament desant les dades de la regla. Si us plau, reviseu el registre d’errors."
"Go to Home Page","Vés a la pàgina d'inici"
"Catalog Advanced Search","Cerca avançada del catàleg"
"Advanced Search Results","Resultats de la cerca avançada"
"Search Weight","Pes de cerca"
Relevance,Rellevància
"Search results for: '%1'","Resultats de la cerca per: '%1'"
"Minimum Search query length is %1","La longitud mínima de la consulta de cerca és %1"
"%1 and greater","%1 i superior"
"up to %1","fins a %1"
"Search Settings","Configuració de la cerca"
"Advanced Search","Cerca Avançada"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 article</strong> s’ha(n) trobat mitjançant els criteris de cerca següents"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 articles</strong> s’ha(n) trobat mitjançant els criteris de cerca següents"
"We can't find any items matching these search criteria.","No podem trobar cap article que coincideixi amb aquests criteris de cerca."
"Modify your search.","Modifiqueu la vostra cerca."
name,nom
"Don't see what you're looking for?","No veus què estàs buscant?"
"Your search returned no results.","La vostra cerca no ha donat resultats."
"Catalog Search","Cerca del catàleg"
"Popular Search Terms","Termes de cerca populars"
"Minimal Query Length","Longitud mínima de la consulta"
"Maximum Query Length","Longitud màxima de la consulta"
"Rebuild Catalog product fulltext search index","Reconstruir l'índex de cerca del catàleg per nom complet del producte"
"Please enter a valid price range.","Si us plau, introduïu un interval de preus vàlid."
View/Edit,Veure/Editar
Preview,"Vista prèvia"
"Update Name","Actualitzar Nom"
"Start Date","Data d'Inici"
"End Date","Data de Finalització"
"New Theme","Nou Tema"
"Attribute Set","Conjunt d'Atributs"
Path,Ruta
"Conditions Combination","Condicions Combinació"
"Product Attribute","Atribut de producte"
"Please choose a condition to add.","Si us plau, escolliu una condició per afegir."
"Add to Wish List","Afegir a la llista de desitjos"
"Add to Compare","Afegir per Comparar"
"Catalog Products List","Llista de Productes del Catàleg"
"List of Products","Llista de productes"
"Display Page Control","Control de la pàgina de visualització"
"Number of Products per Page","Nombre de productes per pàgina"
"Number of Products to Display","Nombre de productes per mostrar"
"Products Grid Template","Plantilla de graella de productes"
Conditions,Condicions
"Invalid method: %1","Mètode no vàlid: %1"
State/Province,Província
"My Cart (1 item)","Cistella (1 producte)"
"My Cart (%1 items)","Cistella (%1 productes)"
"My Cart",Cistella
"For delivery questions.","Per temes relacionats amb l'enviament."
"Customer is already registered","Usuari ja registrat"
"Your session has expired","La sessió ha caducat"
"A letter with further instructions will be sent to your email.","Rebreu instruccions per email."
"We cannot configure the product.","No es pot configurar el producte."
"You used coupon code ""%1"".","Ja s'ha utilitzat el cupó amb codi ""%1""."
"You canceled the coupon code.","S'ha cancel·lat el codi de cupó."
"We cannot apply the coupon code.","No es pot aplicar el codi de cupó."
"We can't remove the item.","No es pot eliminar el producte."
"%1 was updated in your shopping cart.","%1 s'ha actualitzat a la cistella."
"We can't update the item right now.","No es pot actualitzar el producte ara mateix."
"We can't update the shopping cart.","No es pot actualitzar la cistella."
"One-page checkout is turned off.","S'ha desactivat la compra en una pàgina."
"Guest checkout is disabled.","La compra de convidats està desactivada."
Checkout,Compra
"Something went wrong while processing your order. Please try again later.","Alguna cosa ha anat malament mentre es processava la comanda. Intenteu-ho més tard si us plau."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 no pot extendre \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Mètode de pagament"
"Payment Page","Pàgina de pagament"
"We found an invalid request for adding product to quote.","Hem trobat una sol·licitud no vàlida per afegir el producte al pressupost."
"The product does not exist.","El producte no existeix."
"We don't have some of the products you want.","No disposem de tants com sol·licita."
"We don't have as many of some products as you want.","No disposem de tants com sol·licita en alguns productes."
"Quantity was recalculated from %1 to %2","Quantitat recalculada de %1 a %2"
"We adjusted product quantities to fit the required increments.","S'han ajustat les quantitats per arribar als increments sol·licitats."
"This quote item does not exist.","Aquest producte no existeix."
"Display number of items in cart","Mostra el nombre de productes a la cistella"
"Display item quantities","Mostra quantitat dels productes"
"Carrier with such method not found: %1, %2","Transportista amb aquest mètode no trobat: %1, %2"
" item"," producte"
" items"," productes"
"Totals calculation is not applicable to empty cart","Total no aplicable a cistella buida"
"Invalid data","Data no vàlida"
"The customer address is not valid.","Adreça de client no vàlida."
"Invalid shipping method","Mètode d'enviament invàlid"
"There are more than one shipping addresses.","Hi ha més d'una adreça d'enviament."
"Sorry, guest checkout is not available.","Ho sentim, cal ser usuari registrat per fer una comanda."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","S'ha de confirmar el compte. Reviseu el correu per l'enllaç de confirmació o <a href=""%1"">cliqueu aquí</a> per rebre un nou enllaç."
"Load customer quote error","Error al carregar el pressupost del client"
"Error message!","Missatge d'error!"
"DB exception","Excepció de BD"
"Print receipt","Imprimir rebut"
"Apply Discount Code","Aplicar codi de descompte"
"Enter discount code","Introduïu codi de descompte"
"Apply Discount","Aplicar descompte"
"Cancel Coupon","Cancel·lar cupó"
"Continue Shopping","Seguir comprant"
"Clear Shopping Cart","Buida la cistella"
"Update Shopping Cart","Actualitzar la cistella"
"Update Cart","Actualitzar la cistella"
"You have no items in your shopping cart.","No hi ha cap producte a la cistella."
"Click <a href=""%1"">here</a> to continue shopping.","Clic <a href=""%1"">aquí</a> per seguir comprant."
"Estimate Tax","Impost estimat"
"Estimate Shipping and Tax","Despeses d'enviament i impostos estimats"
"Order #","Comanda #"
"Proceed to Checkout","Formalitzar la comanda"
"Product Name","Nom del producte"
"Your order number is: %1.","El número de comanda és: %1."
"Your order # is: <span>%1</span>.","El # de comanda és: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","S'enviarà un email amb la confirmació de la comanda i informació de seguiment."
"Payment Transaction Failed Reminder","Recordatori d'errada en la transacció de pagament"
"Payment Transaction Failed","Errada en la transacció de pagament"
Reason,Motiu
"Checkout Type","Tipus de formalització"
Customer:,Client:
"Billing Address:","Adreça de facturació:"
"Shipping Address:","Adreça d'enviament:"
"Shipping Method:","Mètode d'enviament:"
"Payment Method:","Mètode de pagament:"
"Date & Time:","Data i hora:"
"Sign In","Iniciar sessió"
"Email Address","Adreça electrònica"
"Forgot Your Password?","Heu oblidat la contrasenya?"
"My billing and shipping address are the same","L'adreça de facturació i d'enviament són la mateixa"
Update,Actualitzar
"Save in address book","Desar a la llibreta d'adreces"
"Estimated Total","Total estimat"
"You can create an account after checkout.","Podeu crear un compte després de confirmar la comanda."
"You already have an account with us. Sign in or continue as guest.","Ja teniu un compte. Inicieu sessió o continueu com a convidat."
Login,"Iniciar Sessió"
"See Details","Veure detalls"
"Options Details","Detalls de les opcions"
Remove,Eliminar
"Cart Subtotal",Subtotal
"Payment Information","Informació de pagament"
"No Payment method available.","No hi ha mètodes de pagament disponibles."
"You can track your order status by creating an account.","Podeu fer el seguiment de la comanda creant un compte."
"Place Order","Confirmar comanda"
"Forgot an Item?","Algun producte oblidat?"
"Edit Your Cart","Editeu la cistella"
"Ship Here","Enviar aquí"
"Ship To:","Enviar a:"
edit,editar
"Order Summary","Resum de la comanda"
"View and Edit Cart","Veure i editar la cistella"
"Field ","Camp "
" is required."," és obligatori."
"Provided Zip/Postal Code seems to be invalid.","Sembla que el codi postal no és correcte."
" Example: "," Exemple: "
"If you believe it is the right one you can ignore this notice.","Si creieu que és correcte podeu ignorar aquest avís."
"New Address","Nova adreça"
"Are you sure you would like to remove this item from the shopping cart?","Segur que voleu eliminar el producte de la cistella?"
"Review & Payments","Revisió i Pagaments"
"Select a new payment method","Trieu un altre mètode de pagament"
"Save Address","Desar adreça"
"Checkout Options","Opcions de formalització"
"Enable Onepage Checkout","Activar la compra en una pàgina"
"Allow Guest Checkout","Permetre la compra a convidats"
"Display Billing Address On","Mostrar adreça de facturació a"
"Maximum Number of Items to Display in Order Summary","Nombre màxim de productes a mostrar al resum de la comanda"
"Quote Lifetime (days)","Duració del pressupost (dies)"
"After Adding a Product Redirect to Shopping Cart","Redirigir a la cistella després d'afegir un producte"
"Number of Items to Display Pager","Nombre d’elements que es mostren a l’aparador"
"My Cart Link","Enllaç a la cistella"
"Display Cart Summary","Mostrar resum de la cistella"
"Number of Items to Display Scrollbar","Nombre d’elements a la barra de desplaçament"
"Maximum Number of Items to Display","Nombre màxim d’elements a mostrar"
"Payment Failed Emails","E-mails de pagaments fallits"
"Payment Failed Email Sender","Remitent del correu electrònic del pagament fallit"
"Payment Failed Email Receiver","Destinatari del correu electrònic del pagament fallit"
"Payment Failed Template","Plantilla del pagament fallit"
"Send Payment Failed Email Copy To","Enviar una còpia de correu electrònic del pagament fallit a"
"Separate by "","".","Separa per "",""."
"Send Payment Failed Email Copy Method","Mètode d'enviament de còpia de correu electrònic de pagament fallit"
"Order Total","Total de la comanda"
"Shipping Address","Adreça d'enviament"
"We'll send your order confirmation here.","Enviarem la confirmació de la comanda aquí."
Payment,Pagament
"Not yet calculated","Pendent de calcular"
"Thank you for your purchase!","Gràcies per la comanda!"
Close,Tancar
"Shipping Methods","Mètodes d'enviament"
"Item in Cart","Producte a la cistella"
"Items in Cart","Productes a la cistella"
"Something went wrong while saving the page. Please refresh the page and try again.","Alguna cosa ha anat malament desant la pàgina. Si us plau, actualitzeu la pàgina i torneu-ho a provar."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Afegit %1 a la <a href=""%2"">cistella</a>."
